feature,weight
intercept,-1.1595002806194161
checking_balance,-0.6842450707685221
months_loan_duration,0.1034981687333979
credit_history,0.1913081448264764
purpose,-0.05114255494987331
amount,0.40787944754806565
savings_balance,-0.20630195240520807
employment_duration,0.021561840216707994
percent_of_income,0.45930750046356317
years_at_residence,0.20579759350573276
age,-0.2050966687820428
other_credit,-0.12357440559336236
housing,0.14316360369906447
existing_loans_count,-0.08730675434956858
job,-0.16171141974500786
dependents,0.10123978326133659
phone,-0.2857981467104651
